vmax_cp	max_depth	vmax_minbucket	min_split	ganancia_promedio
0.5	11	150	300	0
0.5	11	150	200	0
0.5	11	150	150	0
0.5	11	150	50	0
0.5	11	150	30	0
0.5	12	150	500	0
0.5	12	150	300	0
0.5	12	150	200	0
0.5	12	150	150	0
0.5	12	150	50	0
0.5	12	150	30	0
0.5	3	100	500	0
0.5	3	100	300	0
0.5	3	100	200	0
0.5	3	100	150	0
0.5	3	100	50	0
0.5	3	100	30	0
0.5	5	100	500	0
0.5	5	100	300	0
0.5	5	100	200	0
0.5	5	100	150	0
0.5	5	100	50	0
0.5	5	100	30	0
0.5	6	100	500	0
0.5	6	100	300	0
0.5	6	100	200	0
0.5	6	100	150	0
0.5	6	100	50	0
0.5	6	100	30	0
0.5	9	100	500	0
0.5	9	100	300	0
0.5	9	100	200	0
0.5	9	100	150	0
0.5	9	100	50	0
0.5	9	100	30	0
0.5	11	100	500	0
0.5	11	100	300	0
0.5	11	100	200	0
0.5	11	100	150	0
0.5	11	100	50	0
0.5	11	100	30	0
0.5	12	100	500	0
0.5	12	100	300	0
0.5	12	100	200	0
0.5	12	100	150	0
0.5	12	100	50	0
0.5	12	100	30	0
0.5	3	76	500	0
0.5	3	76	300	0
0.5	3	76	200	0
0.5	3	76	150	0
0.5	3	76	50	0
0.5	3	76	30	0
0.5	5	76	500	0
0.5	5	76	300	0
0.5	5	76	200	0
0.5	5	76	150	0
0.5	5	76	50	0
0.5	5	76	30	0
0.5	6	76	500	0
0.5	6	76	300	0
0.5	6	76	200	0
0.5	6	76	150	0
0.5	6	76	50	0
0.5	6	76	30	0
0.5	9	76	500	0
0.5	9	76	300	0
0.5	9	76	200	0
0.5	9	76	150	0
0.5	9	76	50	0
0.5	9	76	30	0
0.5	11	76	500	0
0.5	11	76	300	0
0.5	11	76	200	0
0.5	11	76	150	0
0.5	11	76	50	0
0.5	11	76	30	0
0.5	12	76	500	0
0.5	12	76	300	0
0.5	12	76	200	0
0.5	12	76	150	0
0.5	12	76	50	0
0.5	12	76	30	0
0.5	3	26	500	0
0.5	3	26	300	0
0.5	3	26	200	0
0.5	3	26	150	0
0.5	3	26	50	0
0.5	3	26	30	0
0.5	5	26	500	0
0.5	5	26	300	0
0.5	5	26	200	0
0.5	5	26	150	0
0.5	5	26	50	0
0.5	5	26	30	0
0.5	6	26	500	0
0.5	6	26	300	0
0.5	6	26	200	0
0.5	6	26	150	0
0.5	6	26	50	0
0.5	6	26	30	0
0.5	9	26	500	0
0.5	9	26	300	0
0.5	9	26	200	0
0.5	9	26	150	0
0.5	9	26	50	0
0.5	9	26	30	0
0.5	11	26	500	0
0.5	11	26	300	0
0.5	11	26	200	0
0.5	11	26	150	0
0.5	11	26	50	0
0.5	11	26	30	0
0.5	12	26	500	0
0.5	12	26	300	0
0.5	12	26	200	0
0.5	12	26	150	0
0.5	12	26	50	0
0.5	12	26	30	0
0.5	3	16	500	0
0.5	3	16	300	0
0.5	3	16	200	0
0.5	3	16	150	0
0.5	3	16	50	0
0.5	3	16	30	0
0.5	5	16	500	0
0.5	5	16	300	0
0.5	5	16	200	0
0.5	5	16	150	0
0.5	5	16	50	0
0.5	5	16	30	0
0.5	6	16	500	0
0.5	6	16	300	0
0.5	6	16	200	0
0.5	6	16	150	0
0.5	6	16	50	0
