fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220428 054446	0	0	0	1	auto	depthwise	256	0	1	0.0108740015641171	0.999830926741454	9	20	0.0133118866188322	170	13026000	58
20220428 060152	0	0	0	1	auto	depthwise	256	0	1	0.01017821710795	0.45874718930906	8	2	0.0166162998741338	1300	13368000	59
20220428 061519	0	0	0	1	auto	depthwise	256	0	1	0.0101859659618739	0.982470589459292	9	2	0.0100802530499617	369	12009000	60
20220428 063056	0	0	0	1	auto	depthwise	256	0	1	0.0101500882746693	0.323946065780765	8	4	0.0157791830366916	740	13453000	61
20220428 065201	0	0	0	1	auto	depthwise	256	0	1	0.0253865392722906	0.998057689933727	5	4	0.0175953267135491	574	12983000	62
20220428 065759	0	0	0	1	auto	depthwise	256	0	1	0.0312254364249306	0.462207610424762	6	2	0.0192146073346745	427	13063000	63
20220428 065859	0	0	0	1	auto	depthwise	256	0	1	0.269694180163477	0.200823676257002	8	5	0.0277965815251973	19	10430000	64
20220428 071941	0	0	0	1	auto	depthwise	256	0	1	0.0100823328824793	0.201713931507351	4	3	0.0153665654259021	2092	13763000	65
20220428 073814	0	0	0	1	auto	depthwise	256	0	1	0.0156718782823658	0.982348328457549	10	6	0.0164450769922224	174	13080000	66
20220428 074806	0	0	0	1	auto	depthwise	256	0	1	0.0106394315180975	0.201825174259678	6	3	0.0165411825122608	726	13332000	67
20220428 080017	0	0	0	1	auto	depthwise	256	0	1	0.0100644555735087	0.218855558786609	3	3	0.0114094780426257	903	13352000	68
20220428 083026	0	0	0	1	auto	depthwise	256	0	1	0.0100729626418634	0.467420995769138	8	22	0.0146977455629715	202	13082000	69
20220428 092158	0	0	0	1	auto	depthwise	256	0	1	0.0100963060133425	0.440073436203762	4	5	0.0146032698070369	522	13731000	71
20220428 093507	0	0	0	1	auto	depthwise	256	0	1	0.010086688878457	0.457587358539167	1	2	0.0138927254153211	1021	13067000	72
20220428 093734	0	0	0	1	auto	depthwise	256	0	1	0.174992441581825	0.999132058594161	9	3	0.0155706679467581	47	13371000	73
20220428 103459	0	0	0	1	auto	depthwise	256	0	1	0.010123790534961	0.997382723346078	10	30	0.0157526899084762	218	13107000	74
20220428 104608	0	0	0	1	auto	depthwise	256	0	1	0.0264753271872978	0.998895917123498	8	3	0.0191047437877581	283	12983000	75
20220428 112712	0	0	0	1	auto	depthwise	256	0	1	0.0100305506507566	0.427692858770432	10	11	0.0258141226323696	869	11964000	76
20220428 121520	0	0	0	1	auto	depthwise	256	0	1	0.0101827730455235	0.881404054227422	10	30	0.00835834612829692	118	11978000	77
20220428 122036	0	0	0	1	auto	depthwise	256	0	1	0.0695467322028223	0.451379376274981	4	3	0.0152636443774783	253	13719000	78
20220428 122829	0	0	0	1	auto	depthwise	256	0	1	0.0385784709265013	0.382220581995228	3	3	0.0149911511238747	429	13512000	79
20220428 124021	0	0	0	1	auto	depthwise	256	0	1	0.0108353841273461	0.483509005364741	4	2	0.0154352497511217	595	13003000	80
20220428 124350	0	0	0	1	auto	depthwise	256	0	1	0.184595595306537	0.969126237191758	4	4	0.0150599147587649	37	12675000	81
20220428 124635	0	0	0	1	auto	depthwise	256	0	1	0.0732220933096896	0.201312786604677	4	4	0.0146154662931303	152	13121000	82
20220428 124846	0	0	0	1	auto	depthwise	256	0	1	0.125030379423654	0.529398827173188	7	3	0.0181376246535394	68	13194000	83
20220428 125953	0	0	0	1	auto	depthwise	256	0	1	0.010007001246761	0.201723442713419	2	5	0.0189737538169405	374	13071000	84
20220428 130152	0	0	0	1	auto	depthwise	256	0	1	0.190466643155014	0.455920613270071	10	3	0.0147580228393808	81	13170000	85
