fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220427 124251	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.289333453732444	0.20641161293163	6002	16	0.0175472315793207	12837000	80
20220427 124301	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.299820332102535	0.996619690120556	7661	417	0.0200206803940554	13030000	81
20220427 124314	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.222521223581797	0.999307394061705	5623	449	0.0181852734004051	12568000	82
20220427 124324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.299868568969429	0.993747687897437	7994	110	0.0171327855646156	12369000	83
20220427 124335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.299331506990583	0.998970885290152	7995	370	0.0309659980930137	11426000	84
20220427 124346	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.299732412814387	0.201203385866361	7995	730	0.0235388660986039	12633000	85
20220427 124759	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	354	TRUE	0.0103399751516414	0.60290424599059	1056	1024	0.015427965413833	13804000	86
20220427 124844	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.0741240951561347	0.831935587663146	736	161	0.0158648335662145	12899000	87
20220427 125157	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	401	TRUE	0.0100183839801131	0.574801194223205	1967	1023	0.0153918945688759	13634000	88
20220427 130450	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	0.0107998207952242	0.960000902619746	17	1024	0.0160367734612695	4111000	89
20220427 130830	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	411	TRUE	0.010021441905514	0.578101386704374	1115	79	0.0175966345687093	13703000	90
20220427 130912	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.0744522969919985	0.514948342262419	1315	1024	0.0163917063065995	13201000	91
20220427 130929	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.239554179627067	0.20034783869103	2809	151	0.015374907571436	12303000	92
20220427 131349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	654	TRUE	0.0100852138364553	0.28226008120717	1203	1022	0.0156140682617565	13427000	93
20220427 131611	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	819	TRUE	0.0100420553852331	0.94059372454555	6265	204	0.0172245236719474	12965000	94
20220427 131726	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	503	TRUE	0.0204846733431812	0.206209491934947	7983	17	0.0164165171680858	13401000	95
20220427 132119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	382	TRUE	0.0104686973541145	0.519491855675908	1313	1024	0.0331315750735462	10666000	96
20220427 132518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	384	TRUE	0.0111460397424717	0.614543685213955	1227	615	0.0162542025310905	13782000	97
20220427 132532	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.299689087418284	0.995242027238126	6412	1024	0.0165371095290702	12675000	98
20220427 132553	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.299944989178819	0.988553509761723	3461	1024	0.0163514921693774	11824000	99
20220427 132622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	92	TRUE	0.0767765619444736	0.200157461239033	6100	24	0.0156984911558513	13173000	100
20220427 132638	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.155003292839359	0.998809224988975	7494	1023	0.0162474684337788	13236000	101
20220427 132856	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	496	TRUE	0.0183739696341751	0.464152439264596	3896	572	0.0171814221441112	13647000	102
20220427 133009	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	147	TRUE	0.0258689092257253	0.604935396581175	3629	1024	0.016142162903447	13604000	103
20220427 133218	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	697	TRUE	0.0204922849521174	0.221121534097498	7524	204	0.0165135169736276	13312000	104
20220427 133239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.117174128580529	0.887033674403932	6225	1024	0.015862824272148	13052000	105
20220427 133255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.299417619210667	0.997596091760783	7996	802	0.0164974595367914	12536000	106
20220427 133503	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	798	TRUE	0.01204726456134	0.957357077653534	1064	16	0.049871369212035	7852000	107
20220427 133600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.0668774725431608	0.650583232345327	1232	192	0.0160466617444744	13249000	108
20220427 133719	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	0.0292563010277012	0.589723509909038	2351	608	0.0173184927979159	13426000	109
20220427 133948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	450	TRUE	0.0101442629254447	0.737432451130368	4136	205	0.016538863723542	13252000	110
20220427 134159	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	524	TRUE	0.0105520824196198	0.200722289768498	4521	503	0.0303272291050592	11515000	111
20220427 134228	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	62	TRUE	0.122160861214636	0.494890937682864	4315	458	0.0163048864397902	13333000	112
20220427 134425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	625	TRUE	0.0161707045788033	0.202770836093766	2692	18	0.0179285301609595	13562000	113
20220427 134441	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	0.206802446050734	0.200214051007133	7646	951	0.0175120204365759	12661000	114
20220427 134730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	636	TRUE	0.010170764976985	0.223542242871756	886	30	0.0157160518106181	13418000	115
20220427 134751	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.093861069102351	0.999931337993569	7663	255	0.0160565346468624	13165000	116
20220427 134838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	0.071861717953182	0.334248025983922	5870	405	0.0160659695890723	13244000	117
20220427 134904	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	137	TRUE	0.299592023517349	0.990891090241913	6419	237	0.00833496629593788	11925000	118
20220427 134916	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.299390212950419	0.20498213240635	7991	16	0.0499710710983245	7671000	119
20220427 135349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	478	TRUE	0.0100603147492084	0.207257913166448	1030	691	0.0162170729554215	13312000	120
